

Output
QNQ 3351
EVU 0576
BXQ 7114
QCS 7057
LZN 2673
RWQ 6741
KFF 7211
JWN 8186
HZG 8235
DRU 7656
CBP 8779
LHC 5093
CYN 0625
SYQ 2277
YDN 1830
JDM 1972
HVC 9742
RCI 0106
BAW 5092
SKI 8964
BNE 2500
AFQ 3049
CNF 5193
YEI 2260
KCE 9807
HQC 9984
YFQ 5698
AEM 3988
SGD 2989
VUB 3584
FJL 4117
ZMW 2753
XLG 1623
NEA 8927
MJS 3682
CJZ 5936
PUQ 1712
UEE 6228
DID 9989
FEJ 9717
HEV 4067
EFY 1183
DZS 1206
SXJ 0140
OUS 0641
KDL 4644
OLY 2178
XIS 2852
CIF 7897
IZF 5695
YBA 7735
NCY 9100
VPQ 4303
PKY 5672
RWN 0370
EFP 8627
OAJ 9427
UUI 6180
CTN 8976
CPM 5942
YRJ 3690
BXV 4938
GHH 0878
NEB 8108
OKC 2595
RIR 5998
WRG 9289
AAE 6424
SCD 2515
NZF 9169
ZNI 1578
YKR 0890
XID 5059
CHL 8699
LES 4635
MHW 2566
SWI 4394
BZP 4262
JOP 5344
XUE 0656
QEQ 0536
TXE 9091
LPF 0491
FTP 7071
JSO 2642
FNN 1556
YKR 5667
LXD 7550
XAC 5181
HPR 6550
HDP 9678
NRF 1598
YBH 1725
EBS 7988
WRU 4328
DAP 5428
SGS 7430
KYN 8152
KSO 4092
QZG 9484
WYA 0812
ZLN 4905
PED 7711
ZEY 3947
PUU 2314
DMR 7421
KGP 5377
GDW 2389
FLM 6959
UZJ 3477
BFW 7919
QFV 7321
UHH 2993
HEV 1314
JTN 0057
JEX 8184
TLQ 3631
MSH 4714
LLQ 8439
ZQT 1564
KER 0969
HVZ 7287
NCQ 0251
JOK 6699
HDK 0112
ONU 1824
YQE 8751
HBC 9724
BYQ 8322
BGZ 8092
ZOI 4131
IRO 1331
AFZ 1277
ACB 9990
KXS 3248
QDX 4732
LTJ 5801
TDK 6907
NQV 8100
QZT 4942
VKG 0047
IHD 3895
XRQ 0944
DUE 6696
OJE 5401
FUU 1021
CWG 2735
WLT 3104
LQM 8792
GXG 7647
RYB 1031
QJE 1716
EHV 6139
DUM 3102
QOA 8257
ZFX 3671
PPV 5035
AUJ 4739
AGY 9696
VWG 2155
BJU 0894
SIX 6488
ENJ 8106
WRK 1493
JWS 5625
OOS 4951
IAA 2657
UBT 1130
XDK 0809
IOB 1154
NOC 6993
HIS 1521
KCW 0256
HPZ 9190
BLS 0594
YVC 3111
KNT 1548
ZGE 9949
IZV 5601
CGP 6011
HJV 1768
GTN 3862
JLO 7063
QRN 3893
SMH 7505
GPU 5660
WNE 7557
BFC 5400
RRY 4039
ZJD 0078
XWW 9746
RNN 3636
KGK 3754
HEM 6781
KJC 6267
WVA 0231
MGI 2378
OOF 4846
JCA 0541
MOZ 1097
YFU 7893
TGF 0728
AAN 6388
EZD 5411
ZQG 7293
RNT 3617
YDP 1918
INH 4161
JGB 9852
YCM 6255
IPR 1935
LCO 0745
ETA 3956
BCU 9229
AYZ 3863
XOM 0674
BUV 1457
HKB 3446
GUQ 9428
XGU 4704
CRU 4806
NVZ 1519
QDP 5042
Jul-92
ZHL 3318
YPB 7510
THU 2078
ZHB 0262
LSB 6590
CMO 8952
CJA 5988
XGF 8750
MVA 2925
LII 1767
NDM 4462
RTI 6598
YDO 3093
UOL 6104
ZNR 7124
ARO 7270
EYT 0773
KLN 6763
ZJN 2197
FSW 7020
PLJ 4833
PWA 4743
NFH 4045
ENM 7105
YWP 6514
DXL 9062
LMD 1343
WZI 6747
AWM 8281
