921222 3265 769
780124 4020 698
140101 5840 928
050331 9827 388
980616 7236 518
150322 8108 358
860823 8008 938
550820 8592 649
610806 0774 689
660203 4941 028
531010 1246 009
150727 2267 009
520929 7405 569
170621 1410 689
340418 8238 198
821126 8758 088
391203 8477 178
510820 5288 869
820509 3410 829
830512 7127 348
010817 3776 949
420823 0863 418
490720 4256 608
690723 4974 299
840501 8228 058
621208 9275 139
880112 0928 249
500805 5363 689
400223 9845 208
160710 2817 508
830508 4612 309
490211 8394 788
421101 2963 929
681130 7937 948
800205 0506 528
350718 0279 578
691008 4781 869
620716 6075 338
940424 8511 448
740702 7851 979
100919 6733 898
030126 0392 938
530121 8545 148
500107 7472 358
370223 5523 419
200304 2469 328
130802 9357 999
990428 3372 349
570728 0462 169
940718 2818 589
880127 3255 858
630723 6398 958
200922 8955 779
491202 6802 448
751114 9140 749
201221 3266 888
710227 4286 448
590921 9437 478
790911 5700 289
940103 5599 539
690422 4075 579
341128 5700 439
890503 6271 688
330210 7592 599
760409 7559 348
510510 2422 679
500606 4990 229
721116 1033 848
390714 5269 279
720122 2446 099
770220 0005 089
750512 6858 718
100625 7701 778
110909 1388 298
960204 5324 018
180228 2354 748
130201 6035 089
810224 3710 089
051127 2369 028
110718 7475 748
930920 5437 479
450319 2799 429
081024 1404 679
060901 8170 718
380728 6314 179
371114 6448 088
991227 7672 689
840206 4830 648
560530 1376 439
670902 5711 549
971205 8953 759
880319 0337 909
830618 4548 109
631020 0008 578
600519 2016 679
480226 5502 408
130814 1133 288
850914 1284 898
740721 1619 208
930204 4082 199
790129 5510 728
640924 4064 459
390903 2211 499
610907 1777 759
990710 3581 288
951110 1713 009
050705 9576 318
010907 6792 229
570825 5174 459
030531 6963 738
870505 9975 568
930304 6266 849
490223 4607 339
861219 9063 078
170922 7065 669
910717 6343 499
490719 5799 688
661125 4153 048
990627 3268 968
340511 7473 908
781214 2108 819
001104 0193 509
670728 0923 049
860829 5764 849
560702 5667 348
731212 4137 279
680501 4988 428
200815 7218 338
900309 2221 089
031121 7212 228
020912 1934 649
140929 5714 899
680221 8149 079
580313 8087 948
650729 7861 099
710103 3520 088
690504 2018 339
590404 2710 428
180618 2077 869
760907 2047 758
710711 7781 788
870211 7739 269
721028 6716 339
431031 5626 869
770509 4042 009
201010 2481 808
220414 6066 599
840701 3835 619
110921 7767 649
150417 8172 458
840922 4488 738
350905 7908 959
400315 1875 688
130308 7081 349
581103 6111 948
690721 1432 038
520615 5459 298
370604 9009 558
660425 2641 569
091021 6683 159
900107 7610 208
790224 0868 679
630307 2428 818
141212 8586 719
910907 2336 299
660804 5368 309
960507 9372 608
730712 7640 028
960817 0076 568
771001 9199 698
600828 3814 918
090912 0597 589
680331 5726 569
780315 4593 048
810105 6303 879
400613 5453 819
481024 7121 449
200304 1735 159
941011 0185 008
050803 0590 119
800902 0026 708
930922 3146 009
200723 3813 228
110621 7170 228
850908 8037 608
851224 3712 199
391213 1995 249
160219 7687 419
360921 3754 749
220710 2964 799
910123 9627 398
411202 8031 798
991108 0289 298
050326 0659 429
761020 6827 319
751130 2519 188
210712 1763 239
920206 5039 368
770729 5247 718
180420 3417 649
730511 0325 908
611112 1524 578
460603 1627 839
020523 9278 129
890715 6688 039
030804 5419 159
680323 0004 639
380227 9648 709
620922 2835 289
100530 5598 438
140615 5629 659
560716 6282 639
810606 3025 339
850501 4151 189
950220 7078 778
770710 0366 318
050913 1622 679
550409 3619 978
911029 1995 768
571109 5300 328
120325 4080 219
510328 4417 089
060614 1601 478
970406 0172 168
401127 9499 558
830109 5825 188
380306 7857 828
150210 3019 509
601029 1209 958
050607 8297 079
801222 7561 609
070202 0568 489
850102 1784 148
460113 6987 279
580920 4212 259
640128 0901 108
160229 9751 508
911023 2302 518
960607 0735 899
